,pm10,so2,co,o3,no2,max,critical,category
2138,13.0,16.0,29.0,112.0,11.0,112.0,O3,UNHEALTHY
2139,53.0,15.0,25.0,105.0,7.0,105.0,O3,UNHEALTHY
2140,82.0,21.0,26.0,91.0,18.0,91.0,O3,MODERATE
2141,73.0,16.0,34.0,108.0,14.0,108.0,O3,UNHEALTHY
2142,57.0,16.0,23.0,74.0,16.0,74.0,O3,MODERATE
2143,57.0,15.0,25.0,73.0,9.0,73.0,O3,MODERATE
2144,73.0,17.0,15.0,39.0,10.0,73.0,PM10,MODERATE
2145,53.0,16.0,15.0,89.0,14.0,89.0,O3,MODERATE
2146,51.0,15.0,17.0,87.0,23.0,87.0,O3,MODERATE
2147,74.0,30.0,18.0,51.0,10.0,74.0,PM10,MODERATE
2148,71.0,10.0,19.0,69.0,12.0,71.0,PM10,MODERATE
2149,57.0,16.0,23.0,81.0,7.0,81.0,O3,MODERATE
2150,74.0,18.0,41.0,86.0,24.0,86.0,O3,MODERATE
2151,64.0,21.0,20.0,88.0,16.0,88.0,O3,MODERATE
2152,70.0,27.0,22.0,79.0,19.0,79.0,O3,MODERATE
2153,61.0,20.0,21.0,77.0,16.0,77.0,O3,MODERATE
2154,57.0,15.0,29.0,100.0,7.0,100.0,O3,MODERATE
2155,57.0,16.0,27.0,117.0,8.0,117.0,O3,UNHEALTHY
2156,56.0,21.0,17.0,85.0,15.0,85.0,O3,MODERATE
2157,73.0,11.0,16.0,143.0,13.0,143.0,O3,UNHEALTHY
2158,63.0,19.0,26.0,98.0,16.0,98.0,O3,MODERATE
2159,66.0,17.0,29.0,105.0,19.0,105.0,O3,UNHEALTHY
2160,57.0,16.0,37.0,106.0,9.0,106.0,O3,UNHEALTHY
2161,42.0,17.0,24.0,111.0,18.0,111.0,O3,UNHEALTHY
2162,57.0,16.0,32.0,82.0,8.0,82.0,O3,MODERATE
2163,57.0,16.0,30.0,84.0,7.0,84.0,O3,MODERATE
2164,57.0,16.0,36.0,103.0,9.0,103.0,O3,UNHEALTHY
2165,67.0,34.0,18.0,79.0,13.0,79.0,O3,MODERATE
2166,57.0,16.0,31.0,63.0,8.0,63.0,O3,MODERATE
2167,70.0,25.0,14.0,57.0,21.0,70.0,PM10,MODERATE
2168,55.0,20.0,31.0,65.0,20.0,65.0,O3,MODERATE
2169,57.0,17.0,22.0,85.0,5.0,85.0,O3,MODERATE
2170,60.0,24.0,18.0,85.0,23.0,85.0,O3,MODERATE
2171,57.0,19.0,18.0,90.0,19.0,90.0,O3,MODERATE
2172,60.0,21.0,25.0,61.0,17.0,61.0,O3,MODERATE
2173,34.0,17.0,14.0,40.0,9.0,40.0,O3,GOOD
2174,28.0,18.0,11.0,42.0,8.0,42.0,O3,GOOD
2175,31.0,18.0,14.0,44.0,11.0,44.0,O3,GOOD
2176,39.0,18.0,15.0,20.0,12.0,39.0,PM10,GOOD
2177,46.0,18.0,13.0,24.0,12.0,46.0,PM10,GOOD
2178,37.0,18.0,0.0,75.0,9.0,75.0,O3,MODERATE
2179,57.0,18.0,2.0,97.0,10.0,97.0,O3,MODERATE
2180,37.0,18.0,11.0,27.0,12.0,37.0,PM10,GOOD
2181,48.0,18.0,9.0,24.0,12.0,48.0,PM10,GOOD
2182,41.0,19.0,10.0,21.0,12.0,41.0,PM10,GOOD
2183,44.0,11.0,11.0,23.0,3.0,44.0,PM10,GOOD
2184,29.0,19.0,10.0,52.0,12.0,52.0,O3,MODERATE
