,pm10,so2,co,o3,no2,max,critical,category
0,60.0,4.0,73.0,27.0,14.0,73.0,CO,MODERATE
1,32.0,2.0,16.0,33.0,9.0,33.0,O3,GOOD
2,27.0,2.0,19.0,20.0,9.0,27.0,PM10,GOOD
3,22.0,2.0,16.0,15.0,6.0,22.0,PM10,GOOD
4,25.0,2.0,17.0,15.0,8.0,25.0,PM10,GOOD
5,30.0,3.0,22.0,19.0,11.0,30.0,PM10,GOOD
6,41.0,4.0,24.0,27.0,13.0,41.0,PM10,GOOD
7,64.0,8.0,51.0,19.0,15.0,64.0,PM10,MODERATE
8,55.0,5.0,39.0,23.0,16.0,55.0,PM10,MODERATE
9,34.0,5.0,23.0,26.0,12.0,34.0,PM10,GOOD
10,55.0,10.0,32.0,23.0,16.0,55.0,PM10,MODERATE
11,45.0,4.0,33.0,9.0,17.0,45.0,PM10,GOOD
12,28.0,5.0,29.0,10.0,12.0,29.0,CO,GOOD
13,38.0,6.0,28.0,15.0,10.0,38.0,PM10,GOOD
14,35.0,5.0,33.0,17.0,17.0,35.0,PM10,GOOD
15,54.0,5.0,38.0,17.0,18.0,54.0,PM10,MODERATE
16,44.0,4.0,28.0,22.0,14.0,44.0,PM10,GOOD
17,38.0,4.0,29.0,24.0,15.0,38.0,PM10,GOOD
18,40.0,3.0,43.0,23.0,23.0,43.0,CO,GOOD
19,61.0,5.0,63.0,16.0,17.0,63.0,CO,MODERATE
20,36.0,4.0,27.0,23.0,13.0,36.0,PM10,GOOD
21,51.0,4.0,45.0,14.0,13.0,51.0,PM10,MODERATE
22,35.0,3.0,30.0,20.0,14.0,35.0,PM10,GOOD
23,56.0,6.0,46.0,30.0,14.0,56.0,PM10,MODERATE
24,59.0,4.0,38.0,18.0,15.0,59.0,PM10,MODERATE
25,43.0,5.0,42.0,19.0,24.0,43.0,PM10,GOOD
26,54.0,8.0,38.0,40.0,16.0,54.0,PM10,MODERATE
27,72.0,8.0,55.0,20.0,17.0,72.0,PM10,MODERATE
28,51.0,8.0,24.0,19.0,11.0,51.0,PM10,MODERATE
29,47.0,8.0,32.0,19.0,12.0,47.0,PM10,GOOD
30,32.0,5.0,25.0,26.0,10.0,32.0,PM10,GOOD
31,41.0,7.0,30.0,17.0,13.0,41.0,PM10,GOOD
32,50.0,4.0,30.0,23.0,12.0,50.0,PM10,GOOD
33,49.0,7.0,33.0,57.0,23.0,57.0,O3,MODERATE
34,59.0,9.0,38.0,75.0,26.0,75.0,O3,MODERATE
35,63.0,7.0,39.0,41.0,23.0,63.0,PM10,MODERATE
36,65.0,8.0,59.0,24.0,15.0,65.0,PM10,MODERATE
37,60.0,10.0,45.0,47.0,17.0,60.0,PM10,MODERATE
38,46.0,5.0,31.0,42.0,17.0,46.0,PM10,GOOD
39,52.0,7.0,30.0,34.0,16.0,52.0,PM10,MODERATE
40,50.0,8.0,31.0,39.0,14.0,50.0,PM10,GOOD
41,47.0,5.0,27.0,26.0,14.0,47.0,PM10,GOOD
42,56.0,6.0,33.0,45.0,20.0,56.0,PM10,MODERATE
43,55.0,6.0,39.0,14.0,14.0,55.0,PM10,MODERATE
44,55.0,6.0,61.0,16.0,13.0,61.0,CO,MODERATE
45,40.0,4.0,30.0,63.0,22.0,63.0,O3,MODERATE
46,56.0,4.0,43.0,25.0,20.0,56.0,PM10,MODERATE
47,52.0,4.0,34.0,30.0,17.0,52.0,PM10,MODERATE
48,41.0,5.0,26.0,14.0,10.0,41.0,PM10,GOOD
49,37.0,4.0,43.0,17.0,17.0,43.0,CO,GOOD
50,52.0,3.0,64.0,18.0,12.0,64.0,CO,MODERATE
51,61.0,4.0,53.0,36.0,15.0,61.0,PM10,MODERATE
52,34.0,4.0,31.0,23.0,16.0,34.0,PM10,GOOD
53,57.0,7.0,35.0,42.0,18.0,57.0,PM10,MODERATE
54,59.0,4.0,44.0,93.0,24.0,93.0,O3,MODERATE
55,65.0,6.0,55.0,26.0,26.0,65.0,PM10,MODERATE
56,68.0,9.0,67.0,67.0,22.0,68.0,PM10,MODERATE
57,67.0,8.0,47.0,47.0,19.0,67.0,PM10,MODERATE
58,65.0,6.0,38.0,80.0,23.0,80.0,O3,MODERATE
59,60.0,5.0,39.0,44.0,19.0,60.0,PM10,MODERATE
60,74.0,8.0,56.0,68.0,27.0,74.0,PM10,MODERATE
61,54.0,12.0,35.0,77.0,25.0,77.0,O3,MODERATE
62,59.0,9.0,32.0,62.0,20.0,62.0,O3,MODERATE
63,62.0,11.0,35.0,31.0,19.0,62.0,PM10,MODERATE
64,72.0,10.0,54.0,43.0,23.0,72.0,PM10,MODERATE
65,59.0,7.0,46.0,57.0,19.0,59.0,PM10,MODERATE
66,56.0,7.0,37.0,39.0,18.0,56.0,PM10,MODERATE
67,45.0,5.0,33.0,27.0,15.0,45.0,PM10,GOOD
68,44.0,8.0,37.0,41.0,19.0,44.0,PM10,GOOD
69,51.0,6.0,37.0,18.0,14.0,51.0,PM10,MODERATE
70,43.0,6.0,42.0,39.0,20.0,43.0,PM10,GOOD
71,74.0,9.0,46.0,64.0,16.0,74.0,PM10,MODERATE
72,61.0,9.0,27.0,27.0,13.0,61.0,PM10,MODERATE
73,52.0,8.0,28.0,30.0,15.0,52.0,PM10,MODERATE
74,40.0,5.0,25.0,45.0,13.0,45.0,O3,GOOD
75,50.0,8.0,30.0,25.0,15.0,50.0,PM10,GOOD
76,58.0,10.0,33.0,23.0,15.0,58.0,PM10,MODERATE
77,63.0,10.0,44.0,36.0,18.0,63.0,PM10,MODERATE
78,54.0,11.0,29.0,66.0,19.0,66.0,O3,MODERATE
79,52.0,7.0,33.0,31.0,16.0,52.0,PM10,MODERATE
80,37.0,5.0,22.0,15.0,10.0,37.0,PM10,GOOD
81,52.0,9.0,44.0,42.0,29.0,52.0,PM10,MODERATE
82,57.0,7.0,41.0,99.0,29.0,99.0,O3,MODERATE
83,55.0,9.0,33.0,46.0,20.0,55.0,PM10,MODERATE
84,48.0,4.0,45.0,57.0,29.0,57.0,O3,MODERATE
85,61.0,18.0,41.0,59.0,16.0,61.0,PM10,MODERATE
86,56.0,4.0,44.0,45.0,13.0,56.0,PM10,MODERATE
87,50.0,2.0,34.0,27.0,25.0,50.0,PM10,GOOD
88,44.0,6.0,33.0,69.0,12.0,69.0,O3,MODERATE
89,58.0,5.0,57.0,69.0,14.0,69.0,O3,MODERATE
90,59.0,5.0,46.0,69.0,21.0,69.0,O3,MODERATE
91,57.0,4.0,31.0,88.0,18.0,88.0,O3,MODERATE
92,37.0,4.0,18.0,69.0,10.0,69.0,O3,MODERATE
93,39.0,18.0,29.0,69.0,10.0,69.0,O3,MODERATE
94,63.0,7.0,50.0,69.0,22.0,69.0,O3,MODERATE
95,70.0,9.0,52.0,69.0,27.0,70.0,PM10,MODERATE
96,70.0,14.0,42.0,62.0,25.0,70.0,PM10,MODERATE
97,65.0,15.0,54.0,102.0,27.0,102.0,O3,UNHEALTHY
98,59.0,12.0,46.0,27.0,15.0,59.0,PM10,MODERATE
99,40.0,10.0,33.0,33.0,12.0,40.0,PM10,GOOD
100,45.0,10.0,31.0,21.0,11.0,45.0,PM10,GOOD
101,66.0,19.0,39.0,80.0,25.0,80.0,O3,MODERATE
102,57.0,17.0,34.0,80.0,24.0,80.0,O3,MODERATE
103,70.0,16.0,40.0,59.0,21.0,70.0,PM10,MODERATE
104,70.0,13.0,57.0,41.0,19.0,70.0,PM10,MODERATE
105,38.0,11.0,30.0,42.0,13.0,42.0,O3,GOOD
106,38.0,10.0,26.0,28.0,12.0,38.0,PM10,GOOD
107,36.0,9.0,22.0,27.0,10.0,36.0,PM10,GOOD
108,36.0,18.0,24.0,20.0,10.0,36.0,PM10,GOOD
109,39.0,18.0,27.0,24.0,12.0,39.0,PM10,GOOD
110,41.0,18.0,23.0,30.0,12.0,41.0,PM10,GOOD
111,37.0,18.0,34.0,25.0,14.0,37.0,PM10,GOOD
112,29.0,18.0,22.0,23.0,12.0,29.0,PM10,GOOD
113,31.0,18.0,28.0,36.0,12.0,36.0,O3,GOOD
114,50.0,18.0,26.0,55.0,29.0,55.0,O3,MODERATE
115,58.0,18.0,31.0,67.0,29.0,67.0,O3,MODERATE
116,67.0,18.0,30.0,52.0,18.0,67.0,PM10,MODERATE
117,56.0,18.0,26.0,30.0,15.0,56.0,PM10,MODERATE
118,61.0,18.0,34.0,61.0,26.0,61.0,PM10,MODERATE
119,76.0,18.0,42.0,42.0,24.0,76.0,PM10,MODERATE
120,60.0,18.0,24.0,28.0,10.0,60.0,PM10,MODERATE
121,58.0,16.0,19.0,31.0,13.0,58.0,PM10,MODERATE
122,60.0,16.0,29.0,73.0,18.0,73.0,O3,MODERATE
123,53.0,13.0,27.0,31.0,16.0,53.0,PM10,MODERATE
124,53.0,16.0,26.0,35.0,15.0,53.0,PM10,MODERATE
125,53.0,19.0,25.0,21.0,11.0,53.0,PM10,MODERATE
126,67.0,19.0,33.0,33.0,16.0,67.0,PM10,MODERATE
127,57.0,16.0,24.0,26.0,9.0,57.0,PM10,MODERATE
128,57.0,16.0,28.0,51.0,16.0,57.0,PM10,MODERATE
129,57.0,14.0,43.0,75.0,26.0,75.0,O3,MODERATE
130,57.0,14.0,42.0,60.0,24.0,60.0,O3,MODERATE
131,61.0,12.0,50.0,32.0,19.0,61.0,PM10,MODERATE
132,52.0,15.0,40.0,65.0,21.0,65.0,O3,MODERATE
133,59.0,12.0,46.0,69.0,26.0,69.0,O3,MODERATE
134,52.0,14.0,45.0,92.0,26.0,92.0,O3,MODERATE
135,56.0,12.0,29.0,65.0,15.0,65.0,O3,MODERATE
136,55.0,15.0,55.0,32.0,16.0,55.0,PM10,MODERATE
137,57.0,17.0,45.0,50.0,25.0,57.0,PM10,MODERATE
138,69.0,14.0,39.0,79.0,18.0,79.0,O3,MODERATE
139,58.0,14.0,38.0,57.0,21.0,58.0,PM10,MODERATE
140,53.0,14.0,37.0,60.0,18.0,60.0,O3,MODERATE
141,63.0,16.0,50.0,54.0,21.0,63.0,PM10,MODERATE
142,57.0,14.0,28.0,50.0,23.0,57.0,PM10,MODERATE
143,54.0,15.0,37.0,42.0,21.0,54.0,PM10,MODERATE
144,56.0,18.0,34.0,43.0,18.0,56.0,PM10,MODERATE
145,55.0,15.0,41.0,123.0,34.0,123.0,O3,UNHEALTHY
146,58.0,17.0,50.0,113.0,29.0,113.0,O3,UNHEALTHY
147,68.0,21.0,49.0,24.0,25.0,68.0,PM10,MODERATE
148,54.0,16.0,30.0,28.0,14.0,54.0,PM10,MODERATE
149,59.0,14.0,41.0,64.0,16.0,64.0,O3,MODERATE
150,56.0,16.0,33.0,25.0,15.0,56.0,PM10,MODERATE
151,55.0,20.0,35.0,31.0,20.0,55.0,PM10,MODERATE
152,58.0,14.0,42.0,93.0,26.0,93.0,O3,MODERATE
153,72.0,19.0,38.0,55.0,22.0,72.0,PM10,MODERATE
154,59.0,18.0,36.0,30.0,19.0,59.0,PM10,MODERATE
155,57.0,15.0,39.0,87.0,21.0,87.0,O3,MODERATE
156,59.0,18.0,47.0,42.0,25.0,59.0,PM10,MODERATE
157,70.0,16.0,39.0,52.0,21.0,70.0,PM10,MODERATE
158,77.0,19.0,95.0,18.0,30.0,95.0,CO,MODERATE
159,54.0,20.0,36.0,45.0,25.0,54.0,PM10,MODERATE
160,79.0,23.0,46.0,34.0,24.0,79.0,PM10,MODERATE
161,60.0,21.0,33.0,27.0,14.0,60.0,PM10,MODERATE
162,64.0,20.0,39.0,23.0,13.0,64.0,PM10,MODERATE
163,59.0,15.0,64.0,29.0,15.0,64.0,CO,MODERATE
164,55.0,22.0,31.0,29.0,14.0,55.0,PM10,MODERATE
165,57.0,20.0,34.0,31.0,20.0,57.0,PM10,MODERATE
166,55.0,17.0,71.0,27.0,38.0,71.0,CO,MODERATE
167,75.0,21.0,71.0,30.0,29.0,75.0,PM10,MODERATE
168,74.0,21.0,50.0,74.0,29.0,74.0,PM10,MODERATE
169,59.0,14.0,37.0,71.0,26.0,71.0,O3,MODERATE
170,49.0,15.0,23.0,28.0,9.0,49.0,PM10,GOOD
171,51.0,18.0,31.0,28.0,13.0,51.0,PM10,MODERATE
172,58.0,17.0,36.0,41.0,21.0,58.0,PM10,MODERATE
173,64.0,17.0,32.0,41.0,23.0,64.0,PM10,MODERATE
174,57.0,18.0,30.0,69.0,12.0,69.0,O3,MODERATE
176,56.0,19.0,30.0,44.0,22.0,56.0,PM10,MODERATE
177,69.0,18.0,46.0,55.0,25.0,69.0,PM10,MODERATE
178,60.0,15.0,40.0,36.0,19.0,60.0,PM10,MODERATE
179,65.0,17.0,34.0,33.0,14.0,65.0,PM10,MODERATE
180,50.0,17.0,29.0,22.0,12.0,50.0,PM10,GOOD
181,55.0,21.0,25.0,27.0,12.0,55.0,PM10,MODERATE
182,62.0,22.0,37.0,66.0,19.0,66.0,O3,MODERATE
183,64.0,15.0,34.0,76.0,20.0,76.0,O3,MODERATE
184,56.0,13.0,46.0,51.0,23.0,56.0,PM10,MODERATE
185,54.0,21.0,30.0,36.0,14.0,54.0,PM10,MODERATE
186,55.0,20.0,34.0,35.0,19.0,55.0,PM10,MODERATE
187,63.0,19.0,37.0,37.0,20.0,63.0,PM10,MODERATE
188,74.0,18.0,71.0,43.0,22.0,74.0,PM10,MODERATE
189,51.0,16.0,34.0,39.0,20.0,51.0,PM10,MODERATE
190,55.0,16.0,44.0,34.0,20.0,55.0,PM10,MODERATE
191,58.0,17.0,43.0,33.0,18.0,58.0,PM10,MODERATE
192,61.0,16.0,43.0,64.0,29.0,64.0,O3,MODERATE
193,66.0,15.0,36.0,33.0,21.0,66.0,PM10,MODERATE
194,61.0,18.0,37.0,30.0,21.0,61.0,PM10,MODERATE
195,63.0,17.0,31.0,31.0,15.0,63.0,PM10,MODERATE
196,63.0,17.0,39.0,31.0,21.0,63.0,PM10,MODERATE
197,81.0,20.0,41.0,43.0,23.0,81.0,PM10,MODERATE
198,61.0,16.0,33.0,45.0,23.0,61.0,PM10,MODERATE
199,53.0,14.0,35.0,37.0,21.0,53.0,PM10,MODERATE
200,52.0,17.0,40.0,54.0,27.0,54.0,O3,MODERATE
201,60.0,17.0,41.0,39.0,22.0,60.0,PM10,MODERATE
202,62.0,18.0,39.0,60.0,22.0,62.0,PM10,MODERATE
203,65.0,25.0,36.0,46.0,20.0,65.0,PM10,MODERATE
204,55.0,17.0,30.0,45.0,17.0,55.0,PM10,MODERATE
205,60.0,16.0,27.0,65.0,17.0,65.0,O3,MODERATE
206,62.0,17.0,31.0,40.0,16.0,62.0,PM10,MODERATE
207,49.0,13.0,31.0,29.0,11.0,49.0,PM10,GOOD
208,57.0,22.0,44.0,59.0,24.0,59.0,O3,MODERATE
209,63.0,14.0,40.0,38.0,20.0,63.0,PM10,MODERATE
210,48.0,15.0,31.0,22.0,10.0,48.0,PM10,GOOD
211,50.0,16.0,21.0,25.0,10.0,50.0,PM10,GOOD
212,48.0,12.0,19.0,47.0,25.0,48.0,PM10,GOOD
213,57.0,15.0,36.0,57.0,29.0,57.0,PM10,MODERATE
214,61.0,13.0,31.0,48.0,17.0,61.0,PM10,MODERATE
216,76.0,16.0,18.0,56.0,26.0,76.0,PM10,MODERATE
217,60.0,17.0,38.0,59.0,17.0,60.0,PM10,MODERATE
218,61.0,13.0,40.0,80.0,32.0,80.0,O3,MODERATE
219,60.0,12.0,42.0,73.0,19.0,73.0,O3,MODERATE
220,61.0,16.0,40.0,77.0,26.0,77.0,O3,MODERATE
221,63.0,14.0,36.0,35.0,20.0,63.0,PM10,MODERATE
222,57.0,15.0,23.0,34.0,10.0,57.0,PM10,MODERATE
223,57.0,14.0,20.0,27.0,7.0,57.0,PM10,MODERATE
224,54.0,16.0,20.0,31.0,9.0,54.0,PM10,MODERATE
225,43.0,16.0,33.0,28.0,6.0,43.0,PM10,GOOD
226,53.0,15.0,27.0,44.0,11.0,53.0,PM10,MODERATE
227,60.0,17.0,34.0,37.0,25.0,60.0,PM10,MODERATE
228,54.0,14.0,43.0,46.0,15.0,54.0,PM10,MODERATE
229,60.0,15.0,45.0,74.0,29.0,74.0,O3,MODERATE
230,39.0,12.0,40.0,34.0,26.0,40.0,CO,GOOD
231,44.0,17.0,36.0,29.0,14.0,44.0,PM10,GOOD
232,52.0,14.0,45.0,30.0,15.0,52.0,PM10,MODERATE
233,48.0,18.0,28.0,71.0,21.0,71.0,O3,MODERATE
234,65.0,17.0,34.0,48.0,16.0,65.0,PM10,MODERATE
235,51.0,18.0,23.0,43.0,12.0,51.0,PM10,MODERATE
236,68.0,18.0,80.0,45.0,17.0,80.0,CO,MODERATE
237,45.0,15.0,25.0,33.0,17.0,45.0,PM10,GOOD
238,49.0,19.0,33.0,36.0,15.0,49.0,PM10,GOOD
239,48.0,17.0,45.0,67.0,20.0,67.0,O3,MODERATE
240,59.0,23.0,39.0,70.0,20.0,70.0,O3,MODERATE
241,57.0,17.0,22.0,35.0,15.0,57.0,PM10,MODERATE
242,52.0,16.0,27.0,35.0,14.0,52.0,PM10,MODERATE
243,53.0,16.0,28.0,43.0,16.0,53.0,PM10,MODERATE
244,56.0,17.0,35.0,44.0,23.0,56.0,PM10,MODERATE
245,53.0,16.0,39.0,52.0,22.0,53.0,PM10,MODERATE
246,47.0,19.0,32.0,44.0,21.0,47.0,PM10,GOOD
247,48.0,17.0,26.0,54.0,17.0,54.0,O3,MODERATE
248,51.0,15.0,35.0,26.0,19.0,51.0,PM10,MODERATE
249,56.0,19.0,45.0,30.0,19.0,56.0,PM10,MODERATE
250,50.0,16.0,43.0,65.0,21.0,65.0,O3,MODERATE
251,38.0,11.0,32.0,29.0,11.0,38.0,PM10,GOOD
252,51.0,11.0,45.0,39.0,14.0,51.0,PM10,MODERATE
253,37.0,13.0,25.0,55.0,12.0,55.0,O3,MODERATE
254,25.0,11.0,18.0,50.0,17.0,50.0,O3,GOOD
255,24.0,10.0,18.0,51.0,13.0,51.0,O3,MODERATE
256,28.0,12.0,26.0,42.0,11.0,42.0,O3,GOOD
257,36.0,13.0,34.0,42.0,22.0,42.0,O3,GOOD
258,36.0,12.0,28.0,21.0,14.0,36.0,PM10,GOOD
259,31.0,14.0,26.0,49.0,16.0,49.0,O3,GOOD
260,51.0,16.0,32.0,50.0,15.0,51.0,PM10,MODERATE
261,49.0,14.0,25.0,34.0,11.0,49.0,PM10,GOOD
262,37.0,14.0,30.0,39.0,15.0,39.0,O3,GOOD
263,41.0,14.0,30.0,30.0,18.0,41.0,PM10,GOOD
264,55.0,15.0,64.0,45.0,22.0,64.0,CO,MODERATE
265,57.0,20.0,53.0,57.0,25.0,57.0,PM10,MODERATE
266,55.0,19.0,49.0,58.0,22.0,58.0,O3,MODERATE
267,57.0,21.0,49.0,32.0,22.0,57.0,PM10,MODERATE
268,32.0,15.0,20.0,46.0,11.0,46.0,O3,GOOD
269,50.0,18.0,36.0,51.0,22.0,51.0,O3,MODERATE
270,37.0,16.0,31.0,71.0,21.0,71.0,O3,MODERATE
271,62.0,21.0,35.0,78.0,28.0,78.0,O3,MODERATE
272,65.0,19.0,36.0,62.0,23.0,65.0,PM10,MODERATE
273,54.0,17.0,32.0,100.0,23.0,100.0,O3,MODERATE
274,56.0,18.0,41.0,67.0,20.0,67.0,O3,MODERATE
275,60.0,16.0,62.0,43.0,19.0,62.0,CO,MODERATE
276,39.0,15.0,44.0,51.0,27.0,51.0,O3,MODERATE
277,54.0,22.0,39.0,63.0,23.0,63.0,O3,MODERATE
278,69.0,27.0,41.0,71.0,24.0,71.0,O3,MODERATE
279,50.0,17.0,42.0,80.0,30.0,80.0,O3,MODERATE
280,62.0,21.0,36.0,59.0,24.0,62.0,PM10,MODERATE
281,53.0,16.0,44.0,62.0,21.0,62.0,O3,MODERATE
282,41.0,19.0,23.0,55.0,14.0,55.0,O3,MODERATE
283,46.0,21.0,28.0,111.0,24.0,111.0,O3,UNHEALTHY
284,59.0,25.0,31.0,95.0,26.0,95.0,O3,MODERATE
285,52.0,17.0,28.0,56.0,19.0,56.0,O3,MODERATE
286,51.0,21.0,32.0,60.0,24.0,60.0,O3,MODERATE
287,49.0,15.0,46.0,43.0,23.0,49.0,PM10,GOOD
288,48.0,18.0,31.0,40.0,17.0,48.0,PM10,GOOD
289,48.0,17.0,25.0,46.0,15.0,48.0,PM10,GOOD
290,54.0,16.0,38.0,64.0,18.0,64.0,O3,MODERATE
291,47.0,17.0,31.0,69.0,22.0,69.0,O3,MODERATE
292,47.0,15.0,35.0,70.0,20.0,70.0,O3,MODERATE
293,41.0,17.0,33.0,90.0,21.0,90.0,O3,MODERATE
294,48.0,17.0,31.0,75.0,23.0,75.0,O3,MODERATE
295,56.0,15.0,59.0,66.0,23.0,66.0,O3,MODERATE
296,52.0,15.0,35.0,37.0,17.0,52.0,PM10,MODERATE
297,43.0,18.0,38.0,58.0,23.0,58.0,O3,MODERATE
298,37.0,15.0,48.0,32.0,18.0,48.0,CO,GOOD
299,43.0,17.0,34.0,70.0,21.0,70.0,O3,MODERATE
300,40.0,16.0,32.0,69.0,22.0,69.0,O3,MODERATE
301,49.0,18.0,32.0,57.0,21.0,57.0,O3,MODERATE
302,57.0,19.0,37.0,55.0,19.0,57.0,PM10,MODERATE
303,39.0,12.0,30.0,36.0,14.0,39.0,PM10,GOOD
305,33.0,14.0,18.0,25.0,8.0,33.0,PM10,GOOD
306,56.0,18.0,32.0,48.0,18.0,56.0,PM10,MODERATE
307,54.0,17.0,47.0,33.0,12.0,54.0,PM10,MODERATE
308,13.0,1.0,22.0,54.0,11.0,54.0,O3,MODERATE
309,49.0,14.0,30.0,26.0,12.0,49.0,PM10,GOOD
310,69.0,0.0,19.0,80.0,6.0,80.0,O3,MODERATE
311,32.0,0.0,8.0,56.0,3.0,56.0,O3,MODERATE
312,14.0,1.0,17.0,78.0,11.0,78.0,O3,MODERATE
313,55.0,0.0,15.0,215.0,10.0,215.0,O3,VERY UNHEALTHY
314,56.0,0.0,16.0,126.0,10.0,126.0,O3,UNHEALTHY
315,44.0,0.0,22.0,81.0,8.0,81.0,O3,MODERATE
316,16.0,3.0,15.0,123.0,14.0,123.0,O3,UNHEALTHY
317,52.0,0.0,31.0,67.0,11.0,67.0,O3,MODERATE
318,51.0,0.0,16.0,130.0,7.0,130.0,O3,UNHEALTHY
319,64.0,0.0,32.0,137.0,11.0,137.0,O3,UNHEALTHY
320,61.0,0.0,33.0,136.0,12.0,136.0,O3,UNHEALTHY
321,57.0,0.0,20.0,206.0,6.0,206.0,O3,VERY UNHEALTHY
322,57.0,6.0,33.0,148.0,28.0,148.0,O3,UNHEALTHY
323,67.0,0.0,19.0,195.0,9.0,195.0,O3,UNHEALTHY
324,68.0,0.0,27.0,154.0,9.0,154.0,O3,UNHEALTHY
325,55.0,0.0,15.0,238.0,13.0,238.0,O3,VERY UNHEALTHY
326,69.0,0.0,18.0,112.0,13.0,112.0,O3,UNHEALTHY
327,52.0,2.0,12.0,146.0,8.0,146.0,O3,UNHEALTHY
328,52.0,2.0,12.0,190.0,9.0,190.0,O3,UNHEALTHY
329,61.0,2.0,19.0,172.0,8.0,172.0,O3,UNHEALTHY
330,53.0,2.0,15.0,189.0,6.0,189.0,O3,UNHEALTHY
331,57.0,3.0,43.0,92.0,23.0,92.0,O3,MODERATE
332,56.0,19.0,37.0,93.0,26.0,93.0,O3,MODERATE
333,66.0,0.0,18.0,74.0,8.0,74.0,O3,MODERATE
334,58.0,3.0,12.0,80.0,3.0,80.0,O3,MODERATE
335,53.0,3.0,12.0,80.0,4.0,80.0,O3,MODERATE
336,59.0,5.0,16.0,82.0,9.0,82.0,O3,MODERATE
337,74.0,5.0,28.0,46.0,5.0,74.0,PM10,MODERATE
338,60.0,2.0,38.0,18.0,6.0,60.0,PM10,MODERATE
339,55.0,1.0,15.0,23.0,13.0,55.0,PM10,MODERATE
340,54.0,1.0,13.0,19.0,5.0,54.0,PM10,MODERATE
341,61.0,0.0,12.0,21.0,7.0,61.0,PM10,MODERATE
342,35.0,4.0,10.0,58.0,4.0,58.0,O3,MODERATE
343,63.0,1.0,12.0,29.0,8.0,63.0,PM10,MODERATE
344,54.0,0.0,9.0,19.0,6.0,54.0,PM10,MODERATE
345,56.0,1.0,17.0,24.0,6.0,56.0,PM10,MODERATE
346,39.0,4.0,7.0,83.0,3.0,83.0,O3,MODERATE
347,82.0,3.0,27.0,33.0,11.0,82.0,PM10,MODERATE
348,58.0,5.0,17.0,119.0,9.0,119.0,O3,UNHEALTHY
349,41.0,5.0,8.0,44.0,2.0,44.0,O3,GOOD
350,38.0,20.0,20.0,23.0,7.0,38.0,PM10,GOOD
351,34.0,3.0,6.0,28.0,2.0,34.0,PM10,GOOD
352,49.0,4.0,15.0,32.0,3.0,49.0,PM10,GOOD
353,51.0,4.0,13.0,31.0,4.0,51.0,PM10,MODERATE
354,40.0,4.0,7.0,32.0,3.0,40.0,PM10,GOOD
355,55.0,1.0,9.0,29.0,7.0,55.0,PM10,MODERATE
356,59.0,2.0,18.0,27.0,6.0,59.0,PM10,MODERATE
357,62.0,5.0,16.0,241.0,9.0,241.0,O3,VERY UNHEALTHY
358,65.0,6.0,16.0,80.0,7.0,80.0,O3,MODERATE
359,65.0,5.0,20.0,52.0,4.0,65.0,PM10,MODERATE
360,38.0,6.0,4.0,54.0,2.0,54.0,O3,MODERATE
361,57.0,4.0,8.0,57.0,6.0,57.0,PM10,MODERATE
362,42.0,5.0,9.0,40.0,4.0,42.0,PM10,GOOD
363,38.0,7.0,4.0,40.0,1.0,40.0,O3,GOOD
364,17.0,6.0,13.0,34.0,15.0,34.0,O3,GOOD
365,57.0,5.0,7.0,76.0,2.0,76.0,O3,MODERATE
366,35.0,15.0,15.0,47.0,10.0,47.0,O3,GOOD
367,41.0,16.0,28.0,21.0,14.0,41.0,PM10,GOOD
368,57.0,5.0,5.0,77.0,2.0,77.0,O3,MODERATE
369,56.0,18.0,15.0,61.0,10.0,61.0,O3,MODERATE
370,53.0,18.0,30.0,94.0,12.0,94.0,O3,MODERATE
371,50.0,4.0,8.0,67.0,12.0,67.0,O3,MODERATE
372,70.0,4.0,25.0,69.0,7.0,70.0,PM10,MODERATE
373,74.0,5.0,34.0,78.0,11.0,78.0,O3,MODERATE
374,55.0,2.0,8.0,89.0,12.0,89.0,O3,MODERATE
375,49.0,3.0,8.0,63.0,12.0,63.0,O3,MODERATE
376,60.0,4.0,14.0,31.0,15.0,60.0,PM10,MODERATE
377,67.0,3.0,14.0,73.0,9.0,73.0,O3,MODERATE
378,70.0,2.0,9.0,55.0,3.0,70.0,PM10,MODERATE
379,90.0,2.0,8.0,58.0,3.0,90.0,PM10,MODERATE
380,66.0,2.0,11.0,16.0,8.0,66.0,PM10,MODERATE
381,67.0,3.0,18.0,39.0,7.0,67.0,PM10,MODERATE
382,80.0,2.0,29.0,48.0,6.0,80.0,PM10,MODERATE
383,57.0,2.0,70.0,48.0,7.0,70.0,CO,MODERATE
384,49.0,16.0,25.0,31.0,14.0,49.0,PM10,GOOD
385,57.0,2.0,28.0,55.0,18.0,57.0,PM10,MODERATE
386,65.0,4.0,39.0,50.0,23.0,65.0,PM10,MODERATE
387,67.0,3.0,59.0,48.0,12.0,67.0,PM10,MODERATE
388,63.0,4.0,32.0,36.0,17.0,63.0,PM10,MODERATE
389,60.0,7.0,25.0,59.0,19.0,60.0,PM10,MODERATE
390,58.0,8.0,20.0,70.0,17.0,70.0,O3,MODERATE
391,94.0,3.0,21.0,40.0,5.0,94.0,PM10,MODERATE
392,68.0,3.0,38.0,34.0,16.0,68.0,PM10,MODERATE
393,48.0,2.0,12.0,40.0,12.0,48.0,PM10,GOOD
394,56.0,3.0,15.0,40.0,11.0,56.0,PM10,MODERATE
